,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
547,2411976,PAYMENT,41018,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 18:12:10,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
557,2411936,PAYMENT,78430,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 17:12:08,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
588,2411807,PAYMENT,11828,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 17:12:18,-,168000,CARD,168000,-,168000,-,12,31
616,2411637,PAYMENT,59953,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 16:12:27,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
701,2411182,PAYMENT,57278,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 14:12:21,-,168000,POINT,168000,-,168000,-,12,31
718,2411100,PAYMENT,49714,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 13:12:08,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
748,2410936,PAYMENT,28420,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 12:12:19,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
808,2410609,PAYMENT,54285,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 08:12:30,-,168000,POINT,168000,-,168000,-,12,31
823,2410472,PAYMENT,74045,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 15:12:30,[WELCOME] 업무생산성 3만원할인,168000,VBANK,138000,30000,138000,-,12,31
847,2410199,PAYMENT,2676,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 01:12:47,-,168000,CARD,168000,-,168000,-,12,31
941,2409053,PAYMENT,8276,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 22:12:33,-,168000,CARD,168000,-,168000,-,12,30
1120,2407188,PAYMENT,13280,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 15:12:11,[WELCOME] 업무생산성 3만원할인,168000,POINT,138000,30000,138000,-,12,30
1239,2406134,PAYMENT,6957,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 12:12:48,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,30
1276,2405932,PAYMENT,41340,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 11:12:47,-,168000,CARD,168000,-,168000,-,12,30
1284,2405890,REFUND,12698,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 11:12:33,-,168000,CARD,-168000,-,-,-168000,12,30
1318,2405661,PAYMENT,24027,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 10:12:21,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,30
1385,2405043,PAYMENT,61824,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 03:12:27,[WELCOME] 업무생산성 3만원할인,168000,POINT,138000,30000,138000,-,12,30
1417,2404642,PAYMENT,56290,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-30 00:12:31,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,30
1695,2403165,PAYMENT,73185,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 19:12:29,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,29
1703,2403138,PAYMENT,74428,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 19:12:25,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,29
1872,2402134,PAYMENT,65898,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 15:12:38,-,168000,CARD,168000,-,168000,-,12,29
1935,2401828,PAYMENT,85084,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 14:12:51,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,29
2034,2401281,PAYMENT,28415,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 11:12:49,-,168000,CARD,168000,-,168000,-,12,29
2043,2401215,PAYMENT,59767,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 11:12:54,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,29
2049,2401201,PAYMENT,7109,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 11:12:30,-,168000,CARD,168000,-,168000,-,12,29
2123,2400910,PAYMENT,28942,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 09:12:14,-,168000,CARD,168000,-,168000,-,12,29
2124,2400909,PAYMENT,58085,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 09:12:37,-,168000,CARD,168000,-,168000,-,12,29
2137,2400873,PAYMENT,15667,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 08:12:47,-,168000,CARD,168000,-,168000,-,12,29
2157,2400830,PAYMENT,52567,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 08:12:23,-,168000,CARD,168000,-,168000,-,12,29
2207,2400340,PAYMENT,74326,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-29 00:12:35,-,168000,CARD,168000,-,168000,-,12,29
2233,2400099,PAYMENT,56974,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 23:12:19,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,28
2238,2400048,PAYMENT,99744,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 23:12:31,-,168000,CARD,168000,-,168000,-,12,28
2263,2399807,PAYMENT,10888,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 21:12:15,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,28
2335,2398989,PAYMENT,24428,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 18:12:07,-,168000,CARD,168000,-,168000,-,12,28
2342,2398938,PAYMENT,74481,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 17:12:01,-,168000,POINT,168000,-,168000,-,12,28
2352,2398831,PAYMENT,14029,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 17:12:31,-,168000,CARD,168000,-,168000,-,12,28
2421,2398434,PAYMENT,24668,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 15:12:15,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,28
2593,2397307,REFUND,7933,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 09:12:27,-,167000,CARD,-167000,-,-,-167000,12,28
2595,2397302,PAYMENT,31765,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 09:12:37,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,28
2600,2397275,PAYMENT,52999,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-28 09:12:00,-,168000,CARD,168000,-,168000,-,12,28
2754,2394777,PAYMENT,68900,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 17:12:40,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,27
2790,2394539,PAYMENT,93097,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 16:12:23,[100% 쿠폰] 디마즈 1기 강의 100% 수강권,168000,PROMOTION,0,168000,0,-,12,27
2806,2394398,PAYMENT,29676,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 16:12:46,[WELCOME] 업무생산성 3만원할인,168000,POINT,138000,30000,138000,-,12,27
2888,2393719,PAYMENT,36550,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 13:12:12,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,27
2909,2393426,PAYMENT,14125,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 12:12:06,-,168000,CARD,168000,-,168000,-,12,27
2933,2393008,PAYMENT,75993,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 11:12:54,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,27
3027,2392157,PAYMENT,49272,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 04:12:17,[WELCOME] 업무생산성 3만원할인,168000,POINT,138000,30000,138000,-,12,27
3066,2391702,PAYMENT,89956,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 00:12:17,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,27
3278,2390010,PAYMENT,38634,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-26 13:12:09,-,167000,TRANSFER,167000,-,167000,-,12,26
3404,2388880,PAYMENT,1301,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-27 13:12:12,-,168000,VBANK,168000,-,168000,-,12,27
3407,2388865,PAYMENT,60295,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-26 10:12:00,-,168000,CARD,168000,-,168000,-,12,26
3561,2387514,PAYMENT,63192,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 23:12:10,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,25
3564,2387495,PAYMENT,23569,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 23:12:20,[WELCOME] 업무생산성 3만원할인,167000,POINT,137000,30000,137000,-,12,25
3577,2387445,PAYMENT,69494,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 23:12:17,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,25
3618,2387271,PAYMENT,16125,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 22:12:51,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,25
3633,2387190,PAYMENT,90884,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 22:12:11,-,167000,CARD,167000,-,167000,-,12,25
3668,2387081,PAYMENT,50660,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 22:12:28,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,25
3775,2386549,PAYMENT,70012,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 19:12:10,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,25
3776,2386548,PAYMENT,99716,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 19:12:32,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,25
3788,2386504,PAYMENT,81605,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 19:12:42,[WELCOME] 업무생산성 3만원할인,167000,TRANS,137000,30000,137000,-,12,25
3851,2386245,PAYMENT,33804,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 18:12:53,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,25
3873,2386152,PAYMENT,87310,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 17:12:08,-,167000,CARD,167000,-,167000,-,12,25
3885,2386090,PAYMENT,6351,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 17:12:58,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,25
3952,2385538,PAYMENT,17633,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 14:12:00,[WELCOME] 업무생산성 3만원할인,167000,POINT,137000,30000,137000,-,12,25
3973,2385406,PAYMENT,33139,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 13:12:44,[WELCOME] 업무생산성 3만원할인,167000,VBANK,137000,30000,137000,-,12,25
3980,2385359,PAYMENT,64017,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 12:12:43,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,25
3986,2385313,PAYMENT,45932,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 12:12:41,[WELCOME] 업무생산성 3만원할인,167000,POINT,137000,30000,137000,-,12,25
4003,2385173,PAYMENT,42946,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 10:12:30,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,POINT,137000,30000,137000,-,12,25
4021,2385014,PAYMENT,79180,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 09:12:13,[WELCOME] 업무생산성 3만원할인,167000,VBANK,137000,30000,137000,-,12,25
4035,2384928,PAYMENT,55615,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-25 07:12:29,-,167000,CARD,167000,-,167000,-,12,25
4322,2382591,PAYMENT,50931,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-24 09:12:39,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,24
4336,2382407,PAYMENT,35850,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-24 07:12:40,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,24
4375,2382000,PAYMENT,85496,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-24 00:12:37,-,167000,CARD,167000,-,167000,-,12,24
4403,2381808,PAYMENT,68531,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 23:12:34,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,23
4430,2381560,PAYMENT,35918,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 20:12:10,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,23
4456,2381352,PAYMENT,56346,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 18:12:16,[무료수강권] 강의 참고용 발행_강사님,167000,PROMOTION,0,167000,0,-,12,23
4538,2380777,PAYMENT,82024,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 16:12:30,-,167000,CARD,167000,-,167000,-,12,23
4570,2380642,PAYMENT,28528,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 16:12:09,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,23
4592,2380409,PAYMENT,35464,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 15:12:11,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,TRANS,137000,30000,137000,-,12,23
4672,2379935,REFUND,50108,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 13:12:52,-,167000,CARD,-167000,-,-,-167000,12,23
4674,2379928,PAYMENT,30073,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 13:12:12,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,23
4682,2379788,PAYMENT,68248,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 12:12:13,-,167000,CARD,167000,-,167000,-,12,23
4710,2379528,PAYMENT,50067,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 11:12:16,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,23
4727,2379411,PAYMENT,3499,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-23 10:12:35,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,TRANS,137000,30000,137000,-,12,23
4807,2378190,PAYMENT,38810,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-22 23:12:34,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,CARD,137000,30000,137000,-,12,22
4871,2377459,PAYMENT,64272,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-22 19:12:10,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",167000,POINT,137000,30000,137000,-,12,22
5067,2376000,PAYMENT,85049,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-22 13:12:37,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,22
5104,2375737,PAYMENT,29057,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-22 12:12:47,-,167000,CARD,167000,-,167000,-,12,22
5149,2375328,PAYMENT,79512,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-22 09:12:18,-,167000,CARD,167000,-,167000,-,12,22
5277,2374224,PAYMENT,77861,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 23:12:11,-,167000,CARD,167000,-,167000,-,12,21
5290,2374165,PAYMENT,88390,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 23:12:59,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,21
5347,2373829,PAYMENT,16090,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 22:12:27,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,21
5394,2373552,PAYMENT,41753,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 21:12:14,-,167000,CARD,167000,-,167000,-,12,21
5398,2373496,PAYMENT,96960,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 21:12:00,-,167000,CARD,167000,-,167000,-,12,21
5414,2373439,PAYMENT,30341,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 21:12:00,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,21
5496,2372980,PAYMENT,61172,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 19:12:39,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,21
5514,2372855,PAYMENT,51269,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 18:12:08,-,167000,CARD,167000,-,167000,-,12,21
5537,2372645,PAYMENT,30625,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 18:12:56,[WELCOME] 업무생산성 3만원할인,167000,CARD,137000,30000,137000,-,12,21
5543,2372625,PAYMENT,95992,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 16:12:23,-,167000,TRANSFER,167000,-,167000,-,12,21
5571,2372459,PAYMENT,42208,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-21 17:12:50,-,167000,CARD,167000,-,167000,-,12,21
